Anim,min_fd,max_fd,world_avg_fd,SaudiaAvgDuration,MinCntryIso3,MaxCntryIso3,MinCntryName,MaxCntryName
101,4.582941702646604,20.59868303372605,12.35832812761551,12:03,NOR,ARG,Norway,Argentina
107,4.573672221906267,20.507658255857198,12.389856899849356,12:05,NOR,ARG,Norway,Argentina
115,4.556484023189734,20.335224995748906,12.449423085601426,12:09,NOR,ARG,Norway,Argentina
123,5.427003000116506,20.116417988872627,12.506611646566213,12:15,NOR,ARG,Norway,Argentina
201,6.385431886406058,19.574198282356953,12.623481204104028,12:24,GRL,ARG,Greenland,Argentina
207,7.6910396090123925,18.34051416845506,12.711432255185619,12:30,GRL,ARG,Greenland,Argentina
215,7.904054930620197,17.35392518695179,12.835619759996376,12:39,SJM,ARG,Svalbard and Jan Mayen,Argentina
223,10.573085057332458,22.18366442894321,13.020567186639038,12:49,GRL,ATA,Greenland,Antarctica
301,11.611147095625686,20.976442698246387,13.131328012948458,12:57,GRL,ATA,Greenland,Antarctica
307,12.479802054226331,20.057707965188726,13.25000050802219,13:05,SWE,ATA,Sweden,Antarctica
315,12.812460722893753,18.993661232567955,13.41185069390525,13:17,GRD,ATA,Grenada,Antarctica
323,12.903574642841935,18.594197376008328,13.584203960401082,13:28,GRD,SJM,Grenada,Svalbard and Jan Mayen
401,13.00788505727025,19.784769166097206,13.78529626296659,13:42,GRD,SJM,Grenada,Svalbard and Jan Mayen
407,12.842558731247532,20.67397053065509,13.919532510274252,13:51,NZL,SJM,New Zealand,Svalbard and Jan Mayen
415,11.938169580134062,22.245036616142453,14.108320898209177,14:03,ATA,SJM,Antarctica,Svalbard and Jan Mayen
423,9.110664665912793,21.531532764045863,14.297618708154658,14:15,ATA,RUS,Antarctica,Russian Federation (the)
501,11.263901815826847,22.897201369180998,14.51882963049301,14:27,ARG,RUS,Argentina,Russian Federation (the)
507,10.912844351917553,23.1172437487254,14.66219452992124,14:35,ARG,RUS,Argentina,Russian Federation (the)
515,10.488336283294664,23.678906004866327,14.806830431346341,14:45,ARG,NOR,Argentina,Norway
523,10.123613510431664,23.77821854942493,14.95643127508632,14:54,ARG,NOR,Argentina,Norway
601,9.800108999904712,23.734305707974052,15.098154340557373,15:02,ARG,FIN,Argentina,Finland
607,9.643876137782938,23.790057958289808,15.169766693299382,15:06,ARG,SWE,Argentina,Sweden
615,9.518377172651183,23.90182624681664,15.224684455693518,15:09,ARG,SWE,Argentina,Sweden
623,9.493492804158171,23.94720540058959,15.236992229310163,15:10,ARG,RUS,Argentina,Russian Federation (the)
701,9.570336253979624,23.85496597818625,15.207092785180809,15:08,ARG,RUS,Argentina,Russian Federation (the)
707,9.69199095057188,23.793888500886286,15.156359549361502,15:05,ARG,RUS,Argentina,Russian Federation (the)
715,9.932187393421664,23.704295910468158,15.050448403158818,15:00,ARG,RUS,Argentina,Russian Federation (the)
723,10.250570886210447,23.69475495010709,14.917801352878957,14:52,ARG,NOR,Argentina,Norway
801,10.686457086955006,23.63328555082149,14.776560249361985,14:41,ARG,NOR,Argentina,Norway
807,11.01482002178602,22.90902680515058,14.635244404212628,14:34,ARG,RUS,Argentina,Russian Federation (the)
815,11.491357104612394,22.297637128429614,14.443915132060452,14:22,ARG,RUS,Argentina,Russian Federation (the)
823,10.093939062108001,21.18386125577291,14.224599908989807,14:11,ATA,RUS,Antarctica,Russian Federation (the)
901,12.61721254780102,21.36356294727168,14.013103761880451,13:57,SGS,SJM,South Georgia and the South Sandwich Islands,Svalbard and Jan Mayen
907,12.93696081585724,20.37553648358719,13.877370011199929,13:48,NZL,SJM,New Zealand,Svalbard and Jan Mayen
915,12.958852437984927,19.269075768471588,13.700741897709003,13:36,GRD,SJM,Grenada,Svalbard and Jan Mayen
923,12.868233100977333,18.25365459816516,13.525815493894843,13:25,GRD,SJM,Grenada,Svalbard and Jan Mayen
1001,12.766994111331798,19.21361490201211,13.359225927866168,13:13,FRA,ATA,France,Antarctica
1007,12.431014203210713,20.00578591202944,13.2405565887668,13:05,GRL,ATA,Greenland,Antarctica
1015,11.136977000109107,21.240546852639454,13.086075102494302,12:54,GRL,ATA,Greenland,Antarctica
1023,9.761349676133165,16.97555762943871,12.903584582935933,12:44,GRL,ARG,Greenland,Argentina
1101,8.147826965632436,17.981918386696233,12.755295774288511,12:33,GRL,ARG,Greenland,Argentina
1107,6.9398479177896695,18.837803196145238,12.663783080839677,12:27,GRL,ARG,Greenland,Argentina
1115,6.3249059890082195,20.00764167006467,12.556237500160504,12:19,NOR,ARG,Norway,Argentina
1123,4.923640202974242,20.241072277804328,12.488615325003943,12:12,NOR,ARG,Norway,Argentina
